Text OCR,Text Char
第 ,第
一 ,一
回 ,回
灵根育孕源流出心性修持大道生,靈根育孕源流出心性修持大道生
诗曰,詩曰
混沌未分天地乱茫茫渺渺无人见,混沌未分天地亂茫茫渺渺無人見
自从盘古破鸿蒙开辟从兹清浊辨,自從盤古破鴻濛開闢從茲清濁辨
覆载群生仰至仁发明万物皆成善,覆載群生仰至仁發明萬物皆成善
欲知造化会元功须看西游释厄传,欲知造化會元功須看西遊釋厄傳
盖闻天地之数有十二万九千六百岁为一元将一元分为,蓋聞天地之數有十二萬九千六百歲為一元將一元分為
十二会乃子丑寅卯辰[MASK]午未申酉戌亥之十二支,十二會乃子丑寅卯辰巳午未申酉戌亥之十二支
也每会该一万八百岁且就一日而论子时得阳气而丑则鸡,也每會該一萬八百歲且就一日而論子時得陽氣而丑則雞
鸣寅不通光而卯则日出辰时食后而[MASK]则挨排日午天中而,鳴寅不通光而卯則日出辰時食後而巳則挨排日午天中而
未则西蹉申时晡而日落酉戌黄昏而人定亥譬于大数若到,未則西蹉申時晡而日落酉戌黃昏而人定亥譬於大數若到
戌会之终则天地昏曚而万物否矣再去五千四百岁交亥会之,戌會之終則天地昏曚而萬物否矣再去五千四百歲交亥會之
初则当黑暗而两间人物俱无矣故曰混沌又五千四百,初則當黑暗而兩間人物俱無矣故曰混沌又五千四百
岁亥会将终贞下起元近子之会而复逐渐开明邵康节,歲亥會將終貞下起元近子之會而復逐漸開明邵康節
曰冬至子之半天心无改移一阳初动处万物未生时到,曰冬至子之半天心無改移一陽初動處萬物未生時到
此天始有根再五千四百岁正当子会轻清上腾有日有月,此天始有根再五千四百歲正當子會輕清上騰有日有月
有星有辰日月星辰谓之四象故曰天开于子又经五,有星有辰日月星辰謂之四象故曰天開於子又經五
千四百岁子会将终近丑之会而逐渐坚实易曰大哉,千四百歲子會將終近丑之會而逐漸堅實易曰大哉
乾元至哉坤元万物资生乃顺承天至此地始凝结再五,乾元至哉坤元萬物資生乃順承天至此地始凝結再五
千四百岁正当丑会重浊下凝有水有火有山有石有土,千四百歲正當丑會重濁下凝有水有火有山有石有土
水火山石土谓之五形故曰地辟于丑又经五千四百,水火山石土謂之五形故曰地闢於丑又經五千四百
岁丑会终而寅会之初发生万物历曰天气下降地气上升,歲丑會終而寅會之初發生萬物曆曰天氣下降地氣上升
天地交合群物皆生至此天清地爽阴阳交合再五千四百,天地交合群物皆生至此天清地爽陰陽交合再五千四百
岁正当寅会生人生兽生禽正谓天地人三才定位故曰,歲正當寅會生人生獸生禽正謂天地人三才定位故曰
人生于寅,人生於寅
感盘古开辟三皇治世五帝定伦世界之间遂分为四大部,感盤古開闢三皇治世五帝定倫世界之間遂分為四大部
洲曰东胜神洲曰西牛贺洲曰南贍部洲曰北俱芦洲这部书,洲曰東勝神洲曰西牛賀洲曰南贍部洲曰北俱蘆洲這部書
单表东胜神洲海外有一国土名曰傲来国国近大海海中,單表東勝神洲海外有一國土名曰傲來國國近大海海中
有一座名山唤为花果山此山乃十洲之祖脉三岛之来龙,有一座名山喚為花果山此山乃十洲之祖脈三島之來龍
自开清浊而立鸿蒙判后而成真个好山有词赋为证赋,自開清濁而立鴻濛判後而成真個好山有詞賦為證賦
曰 ,曰
势镇汪洋威宁瑶海势镇汪洋潮涌银山鱼入穴威,勢鎮汪洋威寧瑤海勢鎮汪洋潮湧銀山魚入穴威
宁瑶海波翻雪浪蜃离渊水火方隅高积[MASK]东海之处耸崇,寧瑤海波翻雪浪蜃離淵水火方隅高積上東海之處聳崇
巅丹崖怪石削壁奇峰丹崖上彩凤双鸣削壁前麒麟,巔丹崖怪石削壁奇峰丹崖上彩鳳雙鳴削壁前麒麟
独卧峰头时听锦鸡鸣石窟每观龙出入林中有寿鹿仙,獨臥峰頭時聽錦雞鳴石窟每觀龍出入林中有壽鹿仙
狐树上有灵禽玄鹤瑶草奇花不谢青松翠柏长春仙桃,狐樹上有靈禽玄鶴瑤草奇花不謝青松翠柏長春仙桃
常结果修竹每留云一条涧壑[MASK]萝密四面原堤草色新,常結果修竹每留雲一條澗壑籐蘿密四面原堤草色新
正是百川会处擎天柱万劫无移大地根,正是百川會處擎天柱萬劫無移大地根
那座山正当顶上有一块仙石其石有三丈六尺五寸高有二丈,那座山正當頂上有一塊仙石其石有三丈六尺五寸高有二丈
四尺围圆三丈六尺五寸高按周天三百六十五度二丈四尺围,四尺圍圓三丈六尺五寸高按周天三百六十五度二丈四尺圍
圆按政历二十四气上有九窍八孔按九宫八卦四面更无树,圓按政曆二十四氣上有九竅八孔按九宮八卦四面更無樹
木遮阴左右倒有芝兰相衬盖自开辟以来每受天真地秀日,木遮陰左右倒有芝蘭相襯蓋自開闢以來每受天真地秀日
精月华感之既久遂有灵通之意内育仙胞一日迸裂产一石,精月華感之既久遂有靈通之意內育仙胞一日迸裂產一石
卵似圆[MASK]样大因见风化作一个石猴五官俱备四肢皆全,卵似圓毬樣大因見風化作一個石猴五官俱備四肢皆全
便就学爬学走拜了四方目运两道金光射冲斗府惊动高天,便就學爬學走拜了四方目運兩道金光射沖斗府驚動高天
上圣大慈仁者玉皇大天尊玄穹高上帝驾座金阙云宫灵霄宝殿,上聖大慈仁者玉皇大天尊玄穹高上帝駕座金闕雲宮靈霄寶殿
聚集仙卿见有金光[MASK][MASK]即命千里眼顺风耳开南天门观看,聚集仙卿見有金光燄燄即命千里眼順風耳開南天門觀看
二将果奉旨出门外看的真听的明须臾回报道臣奉旨观听,二將果奉旨出門外看的真聽的明須臾回報道臣奉旨觀聽
金光之处乃东胜神洲海东傲来小国之界有一座花果山山上,金光之處乃東勝神洲海東傲來小國之界有一座花果山山上
有一仙石石产一卵见风化一石猴在那里拜四方眼运金光,有一仙石石產一卵見風化一石猴在那裏拜四方眼運金光
射冲斗府如今服饵水食金光将潜息矣玉帝垂赐恩慈曰,射沖斗府如今服餌水食金光將潛息矣玉帝垂賜恩慈曰
下方之物乃天地精华所生不足为异,下方之物乃天地精華所生不足為異
那猴在山中却会行走跳跃食草木饮涧泉采山花觅树,那猴在山中卻會行走跳躍食草木飲澗泉採山花覓樹
果与狼虫为伴虎豹为群獐鹿为友猕猿为亲夜宿石崖之下,果與狼蟲為伴虎豹為群獐鹿為友獼猿為親夜宿石崖之下
朝游峰洞之中真是山中无甲子寒尽不知年一朝天气炎,朝遊峰洞之中真是山中無甲子寒盡不知年一朝天氣炎
热与群猴避暑都在松阴之下顽耍你看他一个个,熱與群猴避暑都在松陰之下頑耍你看他一個個
跳树攀枝采花觅果抛弹子[MASK]么儿[MASK]跑沙窝砌宝,跳樹攀枝採花覓果拋彈子麼兒跑沙窩砌寶
塔赶蜻蜓扑[MASK]蜡参老天拜菩萨扯葛[MASK]编草[MASK]捉虱,塔趕蜻蜓撲蜡參老天拜菩薩扯葛籐編草捉虱
子咬又掐理毛衣剔指甲挨的挨擦的擦推的推压,子咬又掐理毛衣剔指甲挨的挨擦的擦推的推壓
的压扯的扯拉的拉青松林下任他顽绿水涧边随洗,的壓扯的扯拉的拉青松林下任他頑綠水澗邊隨洗
濯 ,濯
一群猴子耍了一会却去那山涧中洗澡见那股涧水奔流真个,一群猴子耍了一會卻去那山澗中洗澡見那股澗水奔流真個
似滚瓜涌溅古云禽有禽言兽有兽语众猴都道这股水,似滾瓜湧濺古云禽有禽言獸有獸語眾猴都道這股水
不知是那里的水我们今日赶闲无事顺涧边往上溜头寻看源,不知是那裏的水我們今日趕閑無事順澗邊往上溜頭尋看源
流耍子去耶喊一声都拖男挈女[MASK]弟呼兄一齐跑来顺涧,流耍子去耶喊一聲都拖男挈女呼弟呼兄一齊跑來順澗
爬山直至源流之处乃是一股瀑布飞泉但见那,爬山直至源流之處乃是一股瀑布飛泉但見那
一派白虹起千寻雪浪飞,一派白虹起千尋雪浪飛
海风吹不断江月照还依,海風吹不斷江月照還依
冷气分青嶂[MASK]流润翠微,冷氣分青嶂餘流潤翠微
潺湲名瀑布真似挂帘帷,潺湲名瀑布真似掛簾帷
众猴拍手称扬道好水好水原来此处远通山脚之下直接,眾猴拍手稱揚道好水好水原來此處遠通山腳之下直接
大海之波又道那一个有本事的钻进去寻个源头出来不伤,大海之波又道那一個有本事的鑽進去尋個源頭出來不傷
身体者我等即拜他为王连呼了三声忽见丛杂中跳出一个石,身體者我等即拜他為王連呼了三聲忽見叢雜中跳出一個石
猴应声高叫道我进去我进去好猴也是他,猴應聲高叫道我進去我進去好猴也是他
今日芳名显时来大运通有缘居此地[MASK]遣入仙,今日芳名顯時來大運通有緣居此地王遣入仙
宫 ,宮
你看他瞑目蹲身将身一纵径跳入瀑布泉中忽睁睛抬头,你看他瞑目蹲身將身一縱徑跳入瀑布泉中忽睜睛抬頭
观看那里边却无水无波明明朗朗的一架桥梁他住了身定,觀看那裏邊卻無水無波明明朗朗的一架橋梁他住了身定
了神仔细再看原来是座铁板桥桥下之水冲贯于石窍之间,了神仔細再看原來是座鐵板橋橋下之水沖貫於石竅之間
倒挂流出去遮闭了桥门却又欠身上桥头再走再看却似有,倒掛流出去遮閉了橋門卻又欠身上橋頭再走再看卻似有
人家住处一般真个好所在但见那,人家住處一般真個好所在但見那
翠藓堆蓝白云浮玉光摇片片烟霞虚窗静室滑凳,翠蘚堆藍白雲浮玉光搖片片煙霞虛窗靜室滑凳
板生花乳窟龙珠倚挂萦回满地奇葩锅灶傍崖存火迹,板生花乳窟龍珠倚掛縈迴滿地奇葩鍋灶傍崖存火跡
樽罍靠案见[MASK]渣石座石床真可爱石盆石碗更堪夸又,樽罍靠案見殽渣石座石床真可愛石盆石碗更堪誇又
见那一竿两竿修竹三点五点梅花几树青松常带雨浑然,見那一竿兩竿修竹三點五點梅花幾樹青松常帶雨渾然
像个人家,像個人家
看罢多时跳过桥中间左右观看只见正当中有一石碣,看罷多時跳過橋中間左右觀看只見正當中有一石碣
碣上有一行楷书大字镌[MASK]花果山福地水帘洞洞天石猿喜,碣上有一行楷書大字鐫著花果山福地水簾洞洞天石猿喜
不自胜急抽身往外便走复瞑目蹲身跳出水外打了两个呵呵,不自勝急抽身往外便走復瞑目蹲身跳出水外打了兩個呵呵
道大造化大造化众猴把他围住问道里面怎么样水,道大造化大造化眾猴把他圍住問道裏面怎麼樣水
有多深石猴道没水没水原来是一座铁板桥桥那边是,有多深石猴道沒水沒水原來是一座鐵板橋橋那邊是
一座天造地设的家当众猴道怎见得是个家当石猴笑道,一座天造地設的家當眾猴道怎見得是個家當石猴笑道
这股水乃是桥下冲贯石[MASK]倒挂下来遮闭门户的桥边有花有,這股水乃是橋下沖貫石橋倒掛下來遮閉門戶的橋邊有花有
树乃是一座石房房内有石[MASK]石灶石碗石盆石床石凳,樹乃是一座石房房內有石窩石灶石碗石盆石床石凳
中间一块石碣上镌[MASK]花果山福地水帘洞洞天真个是我们,中間一塊石碣上鐫著花果山福地水簾洞洞天真個是我們
安身之处里面且是宽阔容得千百口老小我们都进去住也,安身之處裏面且是寬闊容得千百口老小我們都進去住也
省得受老天之气这里边,省得受老天之氣這裏邊
刮风有处躲下雨好存身,刮風有處躲下雨好存身
霜雪全无惧雷声永不闻,霜雪全無懼雷聲永不聞
烟霞常照耀祥瑞每蒸熏,煙霞常照耀祥瑞每蒸熏
松竹年年秀奇花日日新,松竹年年秀奇花日日新
众猴听得个个欢喜都道你还先走带我们进去进,眾猴聽得個個歡喜都道你還先走帶我們進去進
去石猴却又瞑目蹲身往里一跳叫道都随我进来进来,去石猴卻又瞑目蹲身往裏一跳叫道都隨我進來進來
那些猴有胆大的都跳进去了胆小的一个个伸头缩颈抓耳挠,那些猴有膽大的都跳進去了膽小的一個個伸頭縮頸抓耳撓
腮大声叫喊缠一会也都进去了跳过桥头一个个抢盆夺,腮大聲叫喊纏一會也都進去了跳過橋頭一個個搶盆奪
碗占灶争床搬过来移过去正是猴性顽劣再无一个宁时只,碗佔灶爭床搬過來移過去正是猴性頑劣再無一個寧時只
搬得力倦神疲方止石猿端坐上面道列位呵人而无信不,搬得力倦神疲方止石猿端坐上面道列位呵人而無信不
知其可你们才说有本事进得来出得去不伤身体者就拜他,知其可你們才說有本事進得來出得去不傷身體者就拜他
为王我如今进来又出去出去又进来寻了这一个洞天与列位,為王我如今進來又出去出去又進來尋了這一個洞天與列位
安眠稳睡各享成家之福何不拜我为王众猴听说即拱伏无,安眠穩睡各享成家之福何不拜我為王眾猴聽說即拱伏無
违一个个序齿排班朝上礼拜都称千岁大王自此,違一個個序齒排班朝上禮拜都稱千歲大王自此
石猿高登王位将石字儿隐了遂称美猴王有诗为证诗,石猿高登王位將石字兒隱了遂稱美猴王有詩為證詩
曰 ,曰
三阳交泰产群生仙石胞含日月精,三陽交泰產群生仙石胞含日月精
借卵化猴完大道假他名姓配丹成,借卵化猴完大道假他名姓配丹成
内观不识因无相外合明知作有形,內觀不識因無相外合明知作有形
历代人人皆属此称王称圣任纵横,歷代人人皆屬此稱王稱聖任縱橫
