Text,Label
天下[MASK]朱,包
天[MASK]包朱,下
生[MASK]底麻制,本
生本[MASK]麻制,底
[MASK]坦竜歐㵋適,朱
朱[MASK]竜歐㵋適,坦
包子芸制[MASK]歷,强
包子芸制强[MASK],歷
他胡朱曲姉[MASK]唭,㛪
[MASK]胡朱曲姉㛪唭,他
嗷喭如埃[MASK]沐,辰
[MASK]喭如埃辰沐,嗷
固殘固傘[MASK]香案固盘[MASK],讀 固
[MASK]㵋别浪固宗,意
意㵋[MASK]浪固宗,别
江胡[MASK]空,拯
[MASK]胡拯空,江
泣[MASK]北東西㘃㗂,南
泣南[MASK]東西㘃㗂,北
劍[MASK]丐紅,吒
劍吒丐[MASK],紅
補才[MASK]妬傕,盘
補才盘妬[MASK],傕
[MASK]良吏痴,改
改[MASK]吏痴,良
[MASK]争詩鍾鼎,當
當争詩[MASK]鼎,鍾
埃伶[MASK]性辰,窖
埃伶窖性[MASK],辰
[MASK]麻踸悁,埃
埃麻踸[MASK],悁
[MASK]責仉粉愚,庄
庄責仉[MASK]愚,粉
只責襖解[MASK]眉,鬚
只責[MASK]解鬚眉,襖
拱格物致[MASK]大才,知
拱格物致知大[MASK],才
化朱老[MASK]命,道
化[MASK]老道命,朱
性[MASK]及陀吏傕,算
[MASK]算及陀吏傕,性
油英傕[MASK]辰沛,拱
油英傕拱[MASK]沛,辰
[MASK]愚庫体盛強,㛪
㛪[MASK]庫体盛強,愚
朱只拸[MASK],塘
[MASK]只拸塘,朱
其村[MASK]賣怒廊[MASK]公,百 商
辰㛪拱痗[MASK],襘
辰㛪[MASK]痗襘,拱
[MASK]㤙英指買,感
感㤙英[MASK]買,指
虛[MASK]庄儋呐之,咍
虛咍庄儋呐[MASK],之
各[MASK]據醝離棋泊,英
[MASK]英據醝離棋泊,各
才盘[MASK]計行,輸
才[MASK]輸計行,盘
痴[MASK]計旦,輸
痴輸[MASK]旦,計
輸[MASK]吹幣,泰
輸泰[MASK]幣,吹
仉輸泰[MASK]即恨,中
仉輸[MASK]中即恨,泰
輸教折尽[MASK],情
[MASK]教折尽情,輸
吒伴[MASK]拱吝,友
[MASK]伴友拱吝,吒
據[MASK]能乱射庄京,呐
[MASK]呐能乱射庄京,據
偨伵[MASK]排,外
偨伵外[MASK],排
[MASK]浪春日都,他
他浪春[MASK]都,日
欺爫拱固[MASK]計夷,欺
欺爫拱固欺計[MASK],夷
[MASK]棋泊卒辰,仍
仍棋泊卒[MASK],辰
吏[MASK]秃痴,添
吏添秃[MASK],痴
棧[MASK]旦冬,辰
棧辰旦[MASK],冬
[MASK]麻䀡態人情,謨
謨麻[MASK]態人情,䀡
[MASK]麻扒特囚[MASK]惨台,刑 官
吏群[MASK]呆,仉
吏群仉[MASK],呆
嗃同人[MASK]散省詩,耒
嗃同人耒散省[MASK],詩
[MASK]宗必得耒[MASK]歇銭,輸 福
辰生腿性桄[MASK]床,処
[MASK]生腿性桄処床,辰
吹公仉[MASK]北,南
吹公仉南[MASK],北
沛都[MASK]争窖,坤
沛都坤[MASK]窖,争
抵吒媄[MASK],特
抵[MASK]媄特,吒
吏添㗂[MASK]沙,醜
吏添㗂醜[MASK],沙
牢朱[MASK]從且,平
牢[MASK]平從且,朱
中渃拱辰㤙[MASK],隊
中[MASK]拱辰㤙隊,渃
爫歷坦[MASK],迎
爫[MASK]坦迎,歷
唒拱[MASK]坦,中
唒[MASK]中坦,拱
咹[MASK]朱沛别,制
咹制[MASK]沛别,朱
古初猪[MASK],猪
古[MASK]猪猪,初
箕[MASK]丐菓埃扜,如
箕如丐[MASK]埃扜,菓
梗花[MASK]曰别[MASK]世芇,埃 朱
箕埃[MASK]高,撘
箕[MASK]撘高,埃
[MASK]箕意埃陶溇,滝
滝箕意埃[MASK]溇,陶
干辰世干[MASK]如空,耒
干辰世[MASK]耒如空,干
棱意[MASK]槞,埃
棱[MASK]埃槞,意
[MASK]爫篭金烏,埃
埃[MASK]篭金烏,爫
䀡造[MASK]机圖,化
䀡造化机[MASK],圖
情算[MASK]丕敖妥,拱
情算拱丕[MASK]妥,敖
[MASK]生埃拱刼催,大
大生埃拱刼[MASK],催
[MASK]項羽英宜埃當,㗂
㗂項羽英宜埃[MASK],當
[MASK]能舉鼎拔山,力
力能[MASK]鼎拔山,舉
吏[MASK]西代東征,䀡
[MASK]䀡西代東征,吏
埃咍[MASK]下变移,垓
[MASK]咍垓下变移,埃
從容固[MASK]欺,進
從容[MASK]進欺,固
爭坤爭窖[MASK]埋特,埃
爭坤爭窖埃埋[MASK],特
咹於[MASK]調,别
咹於别[MASK],調
塊[MASK]輕㳥吶[MASK]滇滇,料 渡
埃䀡典[MASK]計買詳,傳
埃䀡典傳計買[MASK],詳
吏低[MASK]桃,客
吏[MASK]客桃,低
[MASK]空咍㐌尼[MASK]称斤,芇 群
他鄕﨤客[MASK]人,故
他鄕﨤客故[MASK],人
閉永仍渴[MASK],嗃
閉永[MASK]渴嗃,仍
悲情[MASK]爫牢咳情,咳
悲情咳[MASK]牢咳情,爫
[MASK]浪計清台,花
花浪計[MASK]台,清
群固㗂強之[MASK],之
群固㗂[MASK]之之,強
[MASK]群待柳包朱冲,桃
桃群待柳包朱[MASK],冲
於低仍[MASK]溪,穷
於[MASK]仍穷溪,低
少之卿[MASK]空侯每[MASK],尼 相
浪唉客[MASK],桃
浪唉[MASK]桃,客
催推低[MASK]别耒,㐌
催推低㐌[MASK]耒,别
包[MASK]几才花,少
包少几才[MASK],花
徐式修[MASK],仙
[MASK]式修仙,徐
[MASK]乎志立辰,他
他乎[MASK]立辰,志
拱曾㐌别[MASK]每塘,賖
拱[MASK]㐌别賖每塘,曾
朱停買[MASK]雪霜别[MASK],共 几
催信螉吏書[MASK]秦,晋
催信螉吏[MASK]晋秦,書
分牢拯[MASK]扒朱,分
[MASK]牢拯分扒朱,分
淹辰咮㗂[MASK],沁
[MASK]辰咮㗂沁,淹
襖[MASK]默拱艚,拯
襖拯默拱[MASK],艚
㐌迻[MASK]細閣藤,緣
[MASK]迻緣細閣藤,㐌
群想矧[MASK],徐
群[MASK]矧徐,想
[MASK]樔待别包朱冲,㯲
㯲樔待别包朱[MASK],冲
悴情㤕[MASK]中,仍
悴情㤕仍[MASK],中
[MASK]娘於准林[MASK]閉吟,穷 牢
客塵几别尼開[MASK],塘
客塵几别[MASK]開塘,尼
花[MASK]别准林泉,浪
花浪别准林[MASK],泉
㗂花窖[MASK]空,如
[MASK]花窖如空,㗂
[MASK]芒丐㗂紅,摱
摱芒丐[MASK]紅,㗂
才色[MASK]雄約,英
才色英[MASK]約,雄
[MASK]想别包,情
情想[MASK]包,别
爫沖少[MASK]渴滈塵,惱
爫沖少惱渴[MASK]塵,滈
埃群[MASK]欺寅,固
埃[MASK]固欺寅,群
吒丐女傾[MASK],城
吒[MASK]女傾城,丐
責縁吏[MASK],恨
責縁[MASK]恨,吏
㗂[MASK]窖達仍螉,埃
[MASK]埃窖達仍螉,㗂
浪呐[MASK]強,添
浪[MASK]添強,呐
想[MASK]吏傷旦,麻
想麻[MASK]傷旦,吏
花曾課[MASK]辰,固
花曾[MASK]固辰,課
仍調[MASK]之,計
仍調計[MASK],之
賖乙拱固[MASK]吏,欺
賖乙拱固欺[MASK],吏
玉[MASK]結鄧春,珠
玉珠[MASK]鄧春,結
尾之堆情[MASK],縁
尾之堆[MASK]縁,情
牢朱[MASK]朱,院
[MASK]朱院朱,牢
矯[MASK]買渃牢停,麻
矯麻買[MASK]牢停,渃
困[MASK]願貝情,㐌
[MASK]㐌願貝情,困
芇[MASK]負義三[MASK]油麻,埃 生
決細景[MASK]花,探
[MASK]細景探花,決
庒修固典廛[MASK]之,爫
[MASK]修固典廛爫之,庒
船漁細准洞[MASK],桃
[MASK]漁細准洞桃,船
花[MASK]動霜,浪
花浪動[MASK],霜
信[MASK]使蝶吏添絆,螉
[MASK]螉使蝶吏添絆,信
寔固打特庄[MASK]煩,咳
寔[MASK]打特庄咳煩,固
浪咳[MASK]婵娟,客
浪[MASK]客婵娟,咳
䀡浪[MASK]客,默
䀡[MASK]默客,浪
埃[MASK]吘事,监
埃监吘[MASK],事
底[MASK]芒㗂冬迻,停
底停芒[MASK]冬迻,㗂
花[MASK]䏾月漏漏,浪
花浪[MASK]月漏漏,䏾
初庒可朱[MASK]默,衝
初庒[MASK]朱衝默,可
縁妬[MASK]唭在埃,㗂
縁妬㗂[MASK]在埃,唭
浪[MASK]渚甚,催
[MASK]催渚甚,浪
[MASK]生於終,人
人[MASK]於終,生
低帝恪之[MASK],庒
低帝[MASK]之庒,恪
才情[MASK]妸姮,特
才[MASK]特妸姮,情
情[MASK]尽辞,沛
情沛尽[MASK],辞
秦低晋帝包[MASK],朱
秦低晋帝[MASK]朱,包
[MASK]滝浪渃安,悲
悲滝浪渃[MASK],安
巢箕㐌[MASK]船渚,朱
[MASK]箕㐌朱船渚,巢
戾欺声[MASK]弭恒,氣
[MASK]欺声氣弭恒,戾
箕缺怒埃[MASK]朱,扛
箕[MASK]怒埃扛朱,缺
為情[MASK]買情,沛
為情沛[MASK]情,買
潮㳥[MASK]竜冷,渃
潮㳥渃竜[MASK],冷
花嗷撑夷[MASK],夷
花[MASK]撑夷夷,嗷
誓[MASK]妬停停,群
誓群妬[MASK]停,停
[MASK]埃单泊虎堆暈,油
油埃单泊[MASK]堆暈,虎
花[MASK]催吏,浪
花浪[MASK]吏,催
㗂窖[MASK]梗固花,訴
[MASK]窖訴梗固花,㗂
㐌[MASK]固之賖,修
[MASK]修固之賖,㐌
柳[MASK]葻萌拂坡,㐌
[MASK]㐌葻萌拂坡,柳
焒香窖[MASK]期,情
焒香窖情[MASK],期
[MASK]厨清永空師修[MASK],行 䀡
客情固船[MASK]尼空,情
[MASK]情固船情尼空,客
咍[MASK]想蓬,群
咍群[MASK]蓬,想
花浪[MASK]固,芇
[MASK]浪芇固,花
浪[MASK]别辰催,㐌
浪㐌别辰[MASK],催
埃吏庒[MASK],信
埃吏[MASK]信,庒
[MASK]縁如花涞塘,空
空縁[MASK]花涞塘,如
[MASK]浪埃拱㗂鍾,意
意浪埃拱㗂[MASK],鍾
[MASK]誇才色捤[MASK]爫之,渚 摓
浪惵意順[MASK],情
浪惵[MASK]順情,意
唒[MASK]鉄拱停朱衝,肝
唒肝鉄[MASK]停朱衝,拱
[MASK]決罕停空,空
空決[MASK]停空,罕
事麻[MASK]柁埃,吏
事[MASK]吏柁埃,麻
花浪[MASK]高,坦
花浪坦[MASK],高
[MASK]情固少[MASK]尼風情,之 風
㐌[MASK]牢固修行,浪
[MASK]浪牢固修行,㐌
